title,artist,key,bpm,lead_vocals,backup_vocals,intro_notes,order_rules,substitution_notes,yacht_adjacent,gig_ready,length,arrangement,danceable,vocalist_constraints,opener,closer,date_added,archived,preferred_emergency_cut,release_year,original_album,musicbrainz_genre,musicbrainz_mood,electric_guitar,acoustic_guitar,keys_1,keys_2,drums,bass,percussion,harmonica,accordion,sax,start_energy,end_energy,youtube_url
The Middle,Jimmy Eat World,D,162,Martin,J;L;D,"Guitar riff, starts on F#",None,If Martin is out: David sings lead vocals.,No,Yes,3:00,Full Band,Yes,None,Yes,No,2026-01,No,No,2001,The Middle,Alternative Rock;Emo;Pop Punk,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,High,https://music.youtube.com/watch?v=rubpIfLPzvU
Respect,Aretha Franklin,C,115,Lauren,,"Alex counts us in, start together",None,None,No,Yes,2:30,Full Band,Yes,Vocally taxing/gravelly for Lauren; split up in the setlist.,No,No,2025-03,No,No,,Respect,Motown;R&B;Gospel,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,High,https://music.youtube.com/watch?v=9iayJ8u4Qew
Keep Your Hands to Yourself,Georgia Satellites,A,120,David,L,"guitar, A riff",None,If David is out: Lauren sings lead vocals.,No,Yes,3:30,Full Band,Yes,None,No,No,2026-05,No,Yes,2007,Keep Your Hands To Yourself & Other Hits,American Trad Rock;Soundtrack;Southern Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=cPtw_Cd3zTk
Hook,Blues Traveler,A,116,Lauren,D;J,keys or guitar,None,None,No,Yes,5:00,Full Band,Yes,None,No,No,2026-01,No,Yes,1995,Hook,Blues Rock;2008 Universal Fire Victim;Jam,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=pni_IBkQcoE
Rikki Don't Lose That Number,Steely Dan,D,122,Jon,L;D,David starts w/ marimba (or keys straight in),None,If David is out: Marimba intro omitted.,Yes,Yes,4:30,Full Band,No,None,Maybe,No,2026-01,No,No,1979,Rikki Don’t Lose That Number / Pretzel Logic,Jazz Rock;Yacht Rock;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=BsImSBO-ya4
Brandy,Looking Glass,E,126,Jon,L,Keys intro,None,None,Yes,Yes,3:00,Full Band,No,None,No,No,2026-01,No,No,2001,Brandy (You’re a Fine Girl),Pop Rock;Soft Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Low,Low,https://music.youtube.com/watch?v=CFhFyvk0yS8
Everybody Wants to Rule the World,Tears for Fears,D,112,Jon,L,Keys intro,None,None,Adjacent,Yes,4:00,Full Band,No,None,No,No,2026-03,No,No,2013,Everybody Wants to Rule the World: The Collection,Art Pop;Pop Rock;Synth-Pop,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=U4zA0xnBEJU
Pink Pony Club,Chappell Roan,E,130,Lauren,J;D,Piano (B7) intro,None,None,No,Yes,4:30,Full Band,Yes,None,No,No,2026-05,No,No,2020,Pink Pony Club,Queer;Synth-Pop;Alternative Pop,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Low,Medium,https://music.youtube.com/watch?v=R_iTpfSCIVk
Funkytown,"Lipps, Inc.",C,122,Lauren,J;D,Bass + drums,Funkytown -> SEGUE Miss You -> SEGUE Reeling in the Years,None,No,Yes,2:00,Full Band,Yes,None,No,No,2026-01,No,No,2003,Funkytown,Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=ERpebIesPrs
Miss You,Rolling Stones,Am,110,Jon,L;D,SEGUE Jon,Funkytown -> SEGUE Miss You -> SEGUE Reeling in the Years,None,No,Yes,4:00,Full Band,Yes,None,No,No,2026-01,No,No,1996,Still I’m Gonna Miss You,Blues Rock;Psychedelic Rock;British Rhythm & Blues,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=PKVXSo9ROpg
Reeling in the Years,Steely Dan,A,136,Jon,L;D,SEGUE (E7 Resolve) Guitar hook starts,Funkytown -> SEGUE Miss You -> SEGUE Reeling in the Years,None,Adjacent,Yes,4:30,Full Band,Yes,None,No,Maybe,2026-01,No,No,1973,Dirty Work / Reeling In the Years,Jazz Rock;Yacht Rock;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=91XTZ92zs2w
Zombie,The Cranberries,G,83,Lauren,,All together (bass+drums+gtr),None,None,No,Yes,5:00,Full Band,No,Vocally taxing/gravelly for Lauren; split up in the setlist.,No,No,2026-05,No,Yes,1996,Live Zombie USA ’94,Alternative Rock;Pop Rock;Dream Pop,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=yGxHDmHoqXc
Piano Man,Billy Joel,C,89,Jon,L,Keys intro,None,If David is out: Accordion parts are omitted.,No,Yes,5:30,Full Band,No,None,No,Yes,2026-05,No,No,1973,Piano Man,Piano Rock;Pop Rock;Soft Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Low,Medium,https://music.youtube.com/watch?v=LLbew85exp0
You Oughta Know,Alanis Morissette,F#m,105,Lauren,,"Mellow bass+drums, electric piano fills",None,None,No,Yes,4:00,Full Band,No,Vocally taxing/gravelly for Lauren; split up in the setlist.,Yes,No,2026-01,No,No,1995,You Oughta Know,Alternative Rock;Post-Grunge;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Low,High,https://music.youtube.com/watch?v=iWFE1pekWyI
The Chain,Fleetwood Mac,Em,152,Lauren,J,Drums (4 on the floor),None,If Martin is out: Cut song (acoustic guitar required).,Adjacent,Yes,4:30,Full Band,No,None,No,No,2026-01,No,No,1992,25 Years: The Chain,Soft Rock;Blues Rock;Pop Rock,Upbeat,JJ,Martin,Jon,,Alex,Debo,,,,,Medium,High,https://music.youtube.com/watch?v=FhgFtXESdPk
Take It Easy,Eagles,G,139,Jon,L;D,Acoustic guitar intro,None,None,Adjacent,Yes,3:30,Full Band,No,None,No,No,2026-01,No,No,1972,Take It Easy / Get You in the Mood,Country Rock;Folk Rock;Soft Rock,Upbeat,JJ,Martin,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=32Oc2d_3yEk
Colors,"Black Pumas, The",F#m,116,Jon,L;D,Acoustic guitar riff,None,Martin-out OK: Acoustic guitar intro omitted or covered.,No,Yes,4:00,Full Band,Yes,None,No,No,2026-01,No,Yes,,,Rock,Upbeat,JJ,Martin,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=gHJgHxbqmXI
Brass in Pocket,Pretenders,A,98,Lauren,J;M;D,Guitar riff,None,None,Adjacent,Yes,3:00,Full Band,No,None,No,No,2026-01,No,No,1979,Brass in Pocket,Jangle Pop;Pop Rock;Punk,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Low,Low,https://music.youtube.com/watch?v=E6W0clIT-zA
Dreams,Fleetwood Mac,C,120,Lauren,J;M,Drums fill,None,None,Adjacent,Yes,4:00,Full Band,Yes,None,No,No,2026-01,No,No,1977,Dreams,Soft Rock;Blues Rock;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Low,Low,https://music.youtube.com/watch?v=CM1-cJBpiWQ
Lights,Journey,D,103,Lauren,,Guitar + piano unison,None,None,Adjacent,Yes,3:00,Full Band,No,None,No,No,2026-01,No,Yes,1992,Lights,Aor;Arena Rock;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Low,Medium,https://music.youtube.com/watch?v=BPazVAtD-xQ
Jenny (867-5309),Tommy Tutone,F#m,136,Jon,D;L;M,Guitar riff. Stage banter about phone numbers,None,None,No,Yes,4:00,Full Band,Yes,None,No,No,2026-01,No,No,,,Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=tHL2XeuA6Yg
Me and Bobby McGee,Janis Joplin,G->A,94,Lauren,,Guitar on G chord,None,None,No,Yes,4:30,Full Band,No,Vocally taxing/gravelly for Lauren; split up in the setlist.,No,No,2026-01,No,No,1970,Me and Bobby McGee / Half Moon,Blues Rock;Psychedelic Rock;Acid Rock,Upbeat,JJ,Martin,Jon,,Alex,Debo,,,,,Low,High,https://music.youtube.com/watch?v=-ggFIeg5u1M
Born to Run,Bruce Springsteen,E,147,Martin,L,Drums + everyone starts,None,If Martin is out: Lauren sings lead vocals.,No,Yes,4:30,Full Band,Yes,None,No,Maybe,2026-01,No,No,1975,Born to Run,Singer-Songwriter;Heartland Rock;Americana,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=Wu4_zVxmufY
Roll with the Changes,REO Speedwagon,C,134,Lauren,J;D,Drum + keys in time,None,None,Adjacent,Yes,5:30,Full Band,Yes,Vocally taxing/gravelly for Lauren; split up in the setlist.,No,Yes,2026-01,No,No,,,Soft Rock;Aor;Arena Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=m1ml05Ty5Ao
All Right Now,Free,A,120,Lauren,D;J,drums,None,None,No,Yes,4:00,Full Band,Yes,None,No,Yes,2026-01,No,Yes,1999,All Right Now,Blues Rock;Roots Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=hJ5IF9D80kM
Crazy Little Thing Called Love,Queen,D,154,Jon,L,,None,None,No,Yes,2:30,Full Band,Yes,None,No,Yes,2026-01,Yes,No,1979,Crazy Little Thing Called Love,Glam Rock;Art Rock;Pop Rock,Upbeat,JJ,Martin,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=ARwcMqXz4Zc
Working for the Weekend,Loverboy,Bm,147,Lauren,J,Cowbell starts,None,None,No,Yes,3:30,Full Band,Yes,None,Yes,Yes,2026-01,No,No,1981,Working for the Weekend,Album Rock;Arena Rock;Pop/Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=4eK_mRRwV78
Paint It Black,Rolling Stones,Dm,159,Jon,L,,None,None,No,Yes,3:30,Full Band,Yes,None,Yes,No,2026-01,Yes,No,,Paint It Black,Blues Rock;Psychedelic Rock;British Rhythm & Blues,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=170sceOWWXc
Them Changes,Buddy Miles,E,113,Lauren,,,None,None,No,Yes,3:30,Full Band,Yes,None,Yes,No,2026-01,Yes,Yes,1970,Them Changes,Blues Rock;Funk Rock;Smooth Soul,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=_DDbjm_fId8
Ventura Highway,America,G,125,David,J;L,"3 guitars, counted off by David",None,"Requires Martin, David AND JJ (3-guitar arrangement, David counts it off). Cut song if any of them is out - no substitution available.",Adjacent,Yes,3:30,Either,No,None,No,No,2026-07,No,No,2002,Ventura Highway,Soft Rock;Folk Rock;Folk Pop,Upbeat,,,Jon,,,,,,,,Medium,Medium,https://music.youtube.com/watch?v=tnV7dTXlXxs
Ooh La La,Faces,D,133,David,L,guitar,None,Martin-out OK: Lauren leads (David still backs). Martin's rhythm guitar part omitted or covered.,Adjacent,Yes,3:30,Either,Yes,None,No,No,2026-07,No,No,1973,Ooh La La,Blues Rock;Folk Rock;Boogie Rock,Upbeat,,,,,,,,,,,Medium,Medium,https://music.youtube.com/watch?v=RUGKx_kWaVk
Landslide,Stevie Nicks,C,76,Lauren,,guitar,None,If Martin is out: Cut song (acoustic guitar required).,Adjacent,Yes,3:30,Acoustic,Yes,None,No,No,2026-05,No,No,,,Pop Rock;Country Rock;Singer-Songwriter,Upbeat,,Martin,,,,,,,,,Low,Low,https://music.youtube.com/watch?v=k4M53xndqiU
Blackbird,Beatles,G,90,Lauren,J,TBD,None,If Martin is out: Cut song (acoustic guitar required).,No,Yes,2:30,Acoustic,Yes,None,No,No,2026-05,No,No,,,Pop Rock;Psychedelic Pop;Merseybeat,Upbeat,,Martin,Jon,,,,,,,,Low,Low,https://music.youtube.com/watch?v=c5GCNDw4X_0
Wish You Were Here,Pink Floyd,G,60,David,M,guitar,None,"Martin-out OK: David leads acoustic, Martin's backup vocals omitted. Remains on setlist.",No,Yes,5:30,Acoustic,Yes,None,No,No,2026-07,No,No,2013,Wish You Were Here,Progressive Rock;Psychedelic Rock;Art Rock,Upbeat,JJ,Martin,,,,,,,,,Low,Low,https://music.youtube.com/watch?v=4K6cvc27_CE
The Story,Brandi Carlile,A,74,Lauren,,TBD,None,None,No,No,4:00,Acoustic,Yes,None,No,No,None,No,No,2007,The Story,Alternative Country;Americana;Folk Rock,Upbeat,JJ,Martin,,,,,,,,,Medium,Medium,https://music.youtube.com/watch?v=Kpp7wgKWYl0
Vienna,Billy Joel,Bb,125,Jon,,Piano intro,None,None,Adjacent,No,3:30,Either,Yes,None,No,No,None,No,No,,,Piano Rock;Pop Rock;Soft Rock,Upbeat,,,Jon,,,,,,,,Low,Low,https://music.youtube.com/watch?v=irl89Gmcv8c
Interstate Love Song,Stone Temple Pilots,E,109,Martin,L,TBD,None,None,No,Yes,3:00,Either,Yes,None,No,No,2026-07,No,No,1994,Interstate Love Song,Grunge;Alternative Rock;Alternative Metal,Upbeat,,Martin,,,,,,,,,Low,Low,https://music.youtube.com/watch?v=BsdXUx61un8
Don't Know Why,Norah Jones,Bb,88,Lauren,,TBD,None,None,Adjacent,No,3:00,Acoustic,Yes,None,No,No,None,No,No,2002,Don’t Know Why,Vocal Jazz;Singer-Songwriter;Jazz Pop,Upbeat,JJ,,Jon,,,,,,,,Low,Low,https://music.youtube.com/watch?v=GtOcxj3NDBI
All For You,Sister Hazel,G,132,Jon,L;M;D,TBD,None,None,No,Yes,4:05,Acoustic,Yes,None,No,No,2026-07,No,No,1997,All for You,Alternative Rock;Southern Rock,Upbeat,,Martin,Jon,,,,,,,,Medium,Medium,https://music.youtube.com/watch?v=ZJ0BRS_rEb8
Kid Charlemagne,Steely Dan,C7,116,Jon,L;D;M,TBD,None,None,Yes,No,4:32,Full Band,Yes,None,No,No,None,No,No,1976,Kid Charlemagne / Green Earrings,Jazz Rock;Yacht Rock;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=b00h8iKaklQ
Ride Like the Wind,Christopher Cross,Eb,125,Lauren,,Percussion + keys,None,None,Yes,No,5:12,Full Band,Yes,None,No,No,None,No,No,1991,Ride Like the Wind: The Best of Christopher Cross,Soft Rock;Classic Pop And Rock;Aln-Sh,Ballad,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=Wd9rToNGTxk
Listen to the Music,The Doobie Brothers,E,105,Lauren,,Guitar riff,None,None,Adjacent,Yes,3:22,Full Band,Yes,None,Yes,No,2026-08,No,No,1974,Listen to the Music: The Best of the Doobie Brothers,Pop Rock;Soft Rock;Blue-Eyed Soul,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,Medium,https://music.youtube.com/watch?v=S3ta4T9tIUM
Maybe I'm Amazed,Paul McCartney,A,78,Jon,,TBD,None,None,No,Yes,3:53,Full Band,Yes,None,No,No,2026-08,Yes,No,,,Late 60'S Early 70'S;Pop Rock;Rock & Roll,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Low,Medium,https://music.youtube.com/watch?v=slF3EBxZE6A
Don't Stop,Fleetwood Mac,E,119,Lauren,,TBD,None,None,No,Yes,3:13,Full Band,Yes,None,No,No,2026-08,No,No,2018,50 Years – Don’t Stop,Soft Rock;Blues Rock;Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,Medium,High,https://music.youtube.com/watch?v=0hGhl7ki3HM
Hit Me with Your Best Shot,Pat Benatar,E,127,Lauren,,TBD,None,None,No,Yes,2:52,Full Band,Yes,None,No,No,2026-08,No,No,1980,Hit Me With Your Best Shot,Pop Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=aU5aDqLUvug
I Hate Myself for Loving You,Joan Jett & the Blackhearts,E,118,Lauren,,TBD,None,None,No,Yes,4:07,Full Band,Yes,None,No,No,2026-08,No,No,1988,I Hate Myself for Loving You,Album Rock;Arena Rock;Contemporary Pop/Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=V6m7b5xJq7Y
You May Be Right,Billy Joel,,,Jon,,TBD,None,None,No,No,,Full Band,Yes,None,No,No,None,No,No,1980,You May Be Right,Pop Rock;Singer-Songwriter;Piano Rock,Ballad,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=Jpt57dZ2CpE
Basket Case,Green Day,,,Martin,,TBD,None,None,No,No,,Full Band,Yes,None,No,No,None,Yes,No,1994,Basket Case,Punk Rock;Pop Punk;Alternative Rock,Upbeat,JJ;Martin,,Jon,,Alex,Debo,,,,,High,High,https://music.youtube.com/watch?v=gS86jipcKzw
